School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Jackson,39.56,23.94,63.5,1,9,1
Raymore-Peculiar,26.73,30.87,57.6,8,2,2
Liberty North,24.05,30.59,54.64,13,3,3
De Smet Jesuit,20.87,33.44,54.31,21,1,4
Blair Oaks,35.96,17.56,53.51,2,29,5
Webb City,26.48,24.94,51.42,9,7,6
Rockhurst,22.23,28.15,50.38,17,4,7
Liberty,27.23,21.37,48.6,7,16,8
Nixa,18.99,28.0,46.99,24,5,9
Helias Catholic,24.83,21.85,46.68,12,14,10
Carthage,25.77,20.55,46.32,11,19,11
Lee's Summit West,23.78,22.34,46.13,15,12,12
Cardinal Ritter,26.28,19.36,45.64,10,23,13
Francis Howell,22.2,21.77,43.97,18,15,14
Christian Brothers College,32.81,9.97,42.77,3,71,15
Valle Catholic,21.49,20.79,42.28,19,18,16
Blue Springs,27.55,14.59,42.14,6,44,17
St. Mary's South Side,30.44,11.35,41.79,4,61,18
Lutheran North,16.85,24.63,41.47,30,8,19
Odessa,18.57,22.69,41.26,26,11,20
Park Hill,15.11,25.56,40.67,36,6,21
MICDS,27.62,12.92,40.54,5,52,22
West Plains,22.67,16.07,38.74,16,35,23
Joplin,24.02,14.42,38.44,14,45,24
Grain Valley,17.24,20.34,37.58,29,21,25
Platte County,18.47,18.97,37.45,27,25,26
Ft. Zumwalt North,20.13,15.44,35.57,23,38,27
Lee's Summit North,13.39,22.02,35.41,43,13,28
Smithville,12.0,22.82,34.82,56,10,29
Fox,12.51,20.4,32.9,50,20,30
Battle,21.07,11.79,32.86,20,58,31
Holt,18.72,13.29,32.01,25,51,32
Blue Springs South,12.46,18.32,30.78,52,27,33
Hannibal,14.87,15.16,30.03,37,40,34
Bolivar,9.72,19.81,29.54,65,22,35
Park Hill South,12.27,16.5,28.77,55,34,36
Maryville,14.02,13.61,27.63,39,50,37
Ozark,16.64,10.94,27.58,31,63,38
Kennett,15.52,11.77,27.29,34,59,39
Warrensburg,13.2,13.95,27.15,45,48,40
Chaminade College Prep,12.5,14.41,26.91,51,46,41
SLUH,9.56,16.84,26.4,66,32,42
Carl Junction,12.67,13.62,26.29,49,49,43
Lamar,13.5,12.38,25.88,41,55,44
North Kansas City,10.45,15.27,25.72,61,39,45
Lebanon,18.47,7.21,25.68,28,88,46
Trinity Catholic,4.03,21.29,25.32,108,17,47
Staley,7.94,16.99,24.93,80,31,48
Marquette,13.97,10.93,24.91,40,65,49
Kirkwood,7.0,17.73,24.73,86,28,50
Raytown,11.87,12.73,24.59,58,53,51
St. Pius X (Kansas City),5.61,18.96,24.57,97,26,52
