School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Lamar,13.5,12.33,25.83,1,4,1
St. Pius X (Kansas City),5.55,18.85,24.4,6,1,2
Palmyra,8.35,14.76,23.11,4,3,3
Lutheran St. Charles,4.74,16.63,21.37,9,2,4
Butler,3.22,9.88,13.1,11,6,5
Monroe City,5.28,7.13,12.41,8,7,6
Bowling Green,6.73,3.76,10.49,5,11,7
Hallsville,12.23,-2.12,10.11,2,18,8
Brookfield,-1.19,10.31,9.12,22,5,9
Jefferson (Festus),2.18,6.67,8.85,12,8,10
Lafayette County,5.52,3.02,8.54,7,12,11
Duchesne,-1.29,3.98,2.69,23,10,12
Lexington,-0.69,2.65,1.96,19,13,13
Central (New Madrid County),10.98,-9.04,1.94,3,34,14
Liberty (Mountain View),-0.81,1.7,0.89,20,14,15
Clark County,-1.44,-0.71,-2.16,24,16,16
Fair Grove,3.79,-7.41,-3.62,10,29,17
Springfield Catholic,0.51,-4.25,-3.74,15,22,18
St. Michael the Archangel,1.89,-5.71,-3.82,13,26,19
Veritas Christian Academy,1.01,-5.26,-4.25,14,25,20
North Callaway,-3.3,-1.36,-4.66,26,17,21
Kelly,-10.58,4.26,-6.32,31,9,22
Montgomery County,-0.06,-7.43,-7.48,16,30,23
Cuba,-0.95,-6.96,-7.91,21,28,24
East Prairie,-9.42,0.47,-8.95,30,15,25
Scott City,-1.91,-7.47,-9.39,25,31,26
Warsaw,-0.53,-9.39,-9.93,18,35,27
St. Pius X (Festus),-5.05,-9.03,-14.07,27,33,28
Highland,-0.2,-14.21,-14.41,17,41,29
Forsyth,-5.47,-9.94,-15.41,28,37,30
Strafford,-12.38,-3.16,-15.53,34,20,31
Hogan Prep Academy Charter,-13.34,-2.71,-16.05,35,19,32
El Dorado Springs,-6.72,-10.86,-17.59,29,38,33
Hermann,-11.51,-8.18,-19.69,33,32,34
Willow Springs,-14.92,-4.84,-19.75,37,24,35
Lutheran South,-15.83,-4.15,-19.98,38,21,36
Lawson,-18.5,-4.72,-23.22,43,23,37
East Newton,-10.9,-13.84,-24.73,32,40,38
Houston,-19.5,-5.88,-25.39,45,27,39
Lathrop,-18.34,-9.63,-27.97,42,36,40
Missouri Military Academy,-14.56,-21.78,-36.33,36,46,41
Charleston,-18.58,-20.18,-38.76,44,44,42
Grandview (Hillsboro),-25.31,-13.69,-39.0,49,39,43
Clopton with Elsberry,-16.13,-24.2,-40.33,39,47,44
Versailles,-22.16,-19.88,-42.04,46,43,45
Van-Far with Community,-23.11,-19.35,-42.45,48,42,46
Clever,-17.36,-25.47,-42.84,40,49,47
Sarcoxie,-18.13,-25.92,-44.05,41,50,48
Trenton,-22.7,-21.57,-44.27,47,45,49
Holden,-30.61,-25.15,-55.75,50,48,50
Lone Jack with Kingsville,-31.74,-31.1,-62.84,51,51,51
