Date,Home Team,Home Score,Away Team,Away Score
2020-08-28,McDonald County,36,Aurora,50
2020-08-28,Ft. Zumwalt North,43,Battle,60
2020-08-28,Liberty,46,Blue Springs,28
2020-08-28,Pleasant Hill,20,Boonville,25
2020-08-28,Nixa,42,Branson,6
2020-08-28,Ava,42,Buffalo,47
2020-08-28,Adrian,14,Butler,20
2020-08-28,Miller,8,Cabool,68
2020-08-28,Northeast (Kansas City),0,Cameron,63
2020-08-28,Warrensburg,48,Capital City,7
2020-08-28,Fayette,42,Carrollton,8
2020-08-28,Ozark,14,Carthage,35
2020-08-28,East Prairie,2,Central (Park Hills),43
2020-08-28,Ruskin,0,Central (St. Joseph),29
2020-08-28,Crystal City,8,Chaffee,46
2020-08-28,Marshall,21,Chillicothe,7
2020-08-28,Willow Springs,42,Clever,0
2020-08-28,California,61,Clinton,21
2020-08-28,Wright City,41,Clopton with Elsberry,21
2020-08-28,Warsaw,42,Cole Camp,21
2020-08-28,Windsor,36,Crest Ridge,20
2020-08-28,Ash Grove,48,Diamond,0
2020-08-28,Francis Howell North,0,Duchesne,33
2020-08-28,Van Horn,44,East (Kansas City),20
2020-08-28,South Harrison,28,East Buchanan,34
2020-08-28,Stockton,28,El Dorado Springs,44
2020-08-28,Central (Springfield),14,Eldon,54
2020-08-28,Greenfield,12,Forsyth,67
2020-08-28,Ft. Zumwalt East,7,Francis Howell Central,26
2020-08-28,Jefferson (Festus),41,Fredericktown,6
2020-08-28,Jackson,49,Ft. Zumwalt West,13
2020-08-28,West Plains,66,Glendale,44
2020-08-28,Winfield,12,Grandview (Hillsboro),44
2020-08-28,Father Tolton with Calvary Lutheran,0,Hallsville,53
2020-08-28,Lafayette (St. Joseph),26,Harrisonville,28
2020-08-28,Lutheran St. Charles,20,Helias Catholic,31
2020-08-28,Windsor (Imperial),16,Herculaneum,12
2020-08-28,Francis Howell,63,Hickman,21
2020-08-28,Putnam County,19,Highland,49
2020-08-28,Lebanon,34,Hillcrest,13
2020-08-28,Monett,20,Hollister,13
2020-08-28,Webb City,40,Joplin,41
2020-08-28,Fort Osage,21,Kearney,27
2020-08-28,Camdenton,7,Kickapoo,28
2020-08-28,Versailles,7,Knob Noster,46
2020-08-28,Sweet Springs with Malta Bend,40,Knox County,8
2020-08-28,Penney,14,Lafayette County,51
2020-08-28,Blue Springs South,12,Lee's Summit North,17
2020-08-28,Strafford,6,Liberty (Mountain View),16
2020-08-28,Warrenton,6,Liberty (Wentzville),34
2020-08-28,Midway,6,Lincoln,18
2020-08-28,Benton,0,Lincoln College Prep,42
2020-08-28,Nevada,38,Logan-Rogersville,26
2020-08-28,Kirksville,35,Macon,25
2020-08-28,Kennett,64,Malden,8
2020-08-28,Scotland County,14,Marceline,26
2020-08-28,Seneca,34,Marshfield,30
2020-08-28,Blair Oaks,51,Maryville,8
2020-08-28,South Shelby,0,Milan,35
2020-08-28,Hermann,16,Montgomery County,12
2020-08-28,Fair Grove,12,Mountain Grove,28
2020-08-28,Cassville,13,Mt. Vernon,21
2020-08-28,Republic,21,Neosho,0
2020-08-28,Louisiana,22,North Callaway,74
2020-08-28,Farmington,30,North County,14
2020-08-28,Gallatin,58,North Platte,0
2020-08-28,Hillsboro,27,Northwest (Cedar Hill),37
2020-08-28,Bowling Green,19,Oak Grove,47
